quarter,quarter_end,calendar_year,calendar_quarter,fiscal_year,nominal_gdp_billions_saar,real_gdp_billions_chained_saar,annual_real_gdp_growth_rate,annual_inflation_rate,annual_tips_reference_inflation_rate,primary_deficit_billions,marketable_interest_excluding_tips_inflation_billions,bills_interest_cost_billions,notes_interest_cost_billions,bonds_interest_cost_billions,tips_real_interest_cost_billions,frns_interest_cost_billions,other_public_debt_interest_billions,tips_inflation_compensation_billions,tips_deflation_floor_cost_billions,modeled_debt_interest_cost_billions,modeled_total_deficit_billions,other_financing_adjustment_billions,beginning_debt_held_by_public_billions,debt_held_by_public_billions,debt_held_by_public_gdp_ratio,primary_deficit_gdp_ratio_annualized,modeled_interest_gdp_ratio_annualized,modeled_total_deficit_gdp_ratio_annualized,marketable_debt_billions,other_public_debt_billions,bills_outstanding_billions,notes_outstanding_billions,bonds_outstanding_billions,nominal_fixed_rate_debt_outstanding_billions,tips_outstanding_billions,frns_outstanding_billions,principal_maturing_billions,principal_refinanced_billions,frn_principal_reset_billions,principal_repriced_or_reset_billions,net_new_borrowing_requirement_billions,genuinely_new_borrowing_billions,debt_repayment_billions,gross_treasury_issuance_billions,average_effective_marketable_rate_excluding_tips_inflation,average_effective_debt_cost_rate_including_tips_inflation,average_new_issuance_stated_rate,share_marketable_debt_repriced_since_scenario_start,cumulative_modeled_interest_billions,debt_identity_residual_billions,issuance_rate_shock_basis_points
2045Q1,2045-03-31,2045,1,2045,64756.51202054044,33723.099819437724,0.01623329428827147,0.020597325915870046,0.023076797027411944,328.847015,840.9784301794476,144.80982414041094,490.92840081309646,154.44128353369015,34.665251763658326,16.133669928591498,6.028693962709422,45.997226841836266,0.0,893.0043509839934,1221.8513659839934,0.0,88880.40510412892,90102.25647011292,1.391400704867071,0.02031283061667629,0.05516074434032129,0.07547357495699758,89519.49243311828,582.7640369946275,18848.453979475067,45340.822640360675,15125.358004271631,60466.1806446323,8170.2160729258985,2034.6417360850032,20096.617370823933,20096.617370823937,2007.2995245525972,22103.916895376533,1175.854139142157,1175.854139142157,0.0,21272.471509966093,0.03810040529903755,0.040189031539079205,0.0321052423944453,0.25736278555020053,893.0043509839934,0.0,0.0
2045Q2,2045-06-30,2045,2,2045,65349.97257730514,33859.133743930186,0.01623329428827147,0.020597325915870046,0.02213343204113838,328.847015,852.8749430310071,146.78233536516208,497.61552847795724,156.81677431036698,35.30687192373756,16.353432953783212,6.028693962709422,44.838268609136136,0.0,903.7419056028526,1232.5889206028526,0.0,90102.25647011292,91334.84539071577,1.3976263767008021,0.02012836437603664,0.0553170488041922,0.07544541318022883,90752.08135372114,582.7640369946275,19104.30859083808,45956.292671386094,15330.674185541642,61286.966856927735,8298.545327963378,2062.260577991924,20234.66842595269,20234.66842595269,2034.6417360850032,22269.31016203769,1187.7506519937165,1187.7506519937165,0.0,21422.419077946404,0.03810508070401518,0.040120722432856075,0.03220867804004549,0.27960255272229373,1796.746256586846,0.0,0.0
2045Q3,2045-09-30,2045,3,2045,65948.87189878161,33995.71640886204,0.01623329428827036,0.020597325915870046,0.022133432041139267,328.847015,864.7246152780895,148.77480315115156,504.37031206846126,159.1361664056392,35.86791425722678,16.575419395610094,6.028693962709422,45.5425414896127,0.0,916.2958507304116,1245.1428657304116,0.0,91334.84539071577,92579.98825644619,1.4038145853129684,0.019945573322601468,0.05557613492687143,0.0755217082494729,91997.22421945156,582.7640369946275,19362.71575250487,46577.902979525505,15538.038717154372,62115.941696679874,8428.411809181007,2090.154961085787,20548.5603625992,20548.560362599204,2062.260577991924,22610.82094059113,1199.600324240799,1199.600324240799,0.0,21748.160686840005,0.03811186403752947,0.04012908093556826,0.0321474552754673,0.3019558282701964,2713.0421073172574,1.4551915228366852e-11,0.0
2045Q4,2045-12-31,2045,4,2046,66553.2598284873,34132.8500277699,0.01623329428827236,0.020597325915870046,0.02213343204113838,341.5111875,876.7452935963505,150.78714892263167,511.1924852002911,161.53033920427578,36.43569976942433,16.799620499727006,6.044719973726774,46.25525069046731,0.0,929.0452642605445,1270.5564517605444,0.0,92579.98825644619,93850.54470820673,1.410156992310618,0.020525587379497248,0.055837701513330125,0.07636328889282737,93267.7806712121,582.7640369946275,19626.443755907992,47212.31281709725,15749.673075684132,62961.98589278138,8560.727307273712,2118.623715249002,20934.021301134537,20934.021301134537,2090.154961085787,23024.176262220324,1224.3012010700772,1224.3012010700772,0.0,22158.322502204614,0.03812238522775356,0.04014021957691733,0.03214000610578272,0.3252086815286192,3642.087371577802,0.0,0.0
2046Q1,2046-03-31,2046,1,2046,67148.1831460386,34268.80739428492,0.01602817697257164,0.01989152606750877,0.02213343204113749,341.5111875,889.0995920015678,152.8409307491335,518.155133167641,164.06085064149616,37.014239331983,17.02843811131385,6.044719973726774,46.98140013274174,0.0,942.1257121080363,1283.6368996080364,0.0,93850.54470820673,95134.18160781477,1.4167796826447299,0.020343733605256743,0.056122186362602536,0.07646591996785929,94551.41757082014,582.7640369946275,19892.833011663886,47853.12441955962,15963.443014915594,63816.56743447522,8694.637379977516,2147.3797447035017,21343.816772449736,21343.81677244974,2118.623715249002,23462.440487698743,1236.6554994752946,1236.6554994752946,0.0,22580.472271925035,0.038138164718648906,0.0401542991588264,0.032063228399988784,0.34939830013461964,4584.213083685839,0.0,0.0
2046Q2,2046-06-30,2046,2,2046,67748.42451644977,34405.30630378551,0.01602817697257164,0.01989152606750788,0.023159436985126236,341.5111875,901.7195530519591,154.91543707833253,525.1880405046655,166.6571134117866,37.69939735911997,17.25956469805439,6.044719973726774,49.90934201606761,0.0,957.6736150417535,1299.1848025417535,0.0,95134.18160781477,96433.36641035651,1.4234038222828613,0.020163491029497153,0.056542930518434356,0.0767064215479315,95850.60237336188,582.7640369946275,20161.94074644107,48500.475448294834,16179.39445765227,64679.869905947104,8832.362494053934,2176.4292269197713,21502.486750766955,21502.486750766955,2147.3797447035017,23649.866495470458,1249.275460525686,1249.275460525686,0.0,22751.76221129264,0.038149545883519494,0.04026622603386481,0.032122933948506294,0.3718555075110217,5541.886698727592,-1.4551915228366852e-11,0.0
2046Q3,2046-09-30,2046,3,2046,68354.0314780933,34542.348913336136,0.016028176972572528,0.019891526067509657,0.023159436985126236,341.5111875,914.3828474168021,157.01111356290983,532.2927180450345,169.28376542019168,38.302200477297774,17.493049911367663,6.044719973726774,50.69991780689588,0.0,971.1274851974247,1312.6386726974247,0.0,96433.36641035651,97746.00508305394,1.429996197289116,0.0199848453772299,0.05682927336970082,0.07681411874693071,97163.24104605931,582.7640369946275,20433.776294714167,49154.38835781077,16397.534894549397,65551.92325236017,8971.768329454824,2205.7731695301463,21777.624195184606,21777.624195184602,2176.4292269197713,23954.053422104374,1261.9387548905288,1261.9387548905288,0.0,23039.56295007513,0.03816050362891771,0.040281803750994216,0.03211489050185991,0.3938501752436771,6513.014183925017,0.0,0.0
2046Q4,2046-12-31,2046,4,2047,68965.05199428966,34679.937388593244,0.01602817697257164,0.01989152606750877,0.023159436985126236,357.7490725,927.1716448411515,159.1280328950866,539.4694122269718,171.93291729495945,38.912380574034536,17.728901850098545,6.052004524189207,51.500141348602426,0.0,984.7237907139431,1342.4728632139431,0.0,97746.00508305394,99088.47794626789,1.436792622942885,0.02074958618342646,0.05711436515964513,0.07786395134307159,98505.71390927325,582.7640369946275,20711.866080208012,49823.3461225114,16620.694182176165,66444.04030468757,9114.015283545388,2235.7922408322725,22799.79354199563,22799.79354199563,2205.7731695301463,25005.566711525775,1290.9727218653406,1290.9727218653406,0.0,24090.76626386097,0.03816840483069476,0.040297249585892814,0.03248557849736452,0.42305532262692397,7497.737974638961,0.0,0.0
2047Q1,2047-03-31,2047,1,2047,69574.80901325062,34816.54327558161,0.01584952735551126,0.019676561505418855,0.023159436985126236,357.7490725,940.1771372006358,161.29365709961994,546.8112236945612,174.56703284678392,39.53504342398074,17.970180135689382,6.052004524189207,52.31667360546223,0.0,998.5458153302873,1356.2948878302873,0.0,99088.47794626789,100444.77283409817,1.4436945535124404,0.020567735798275276,0.05740846892674116,0.07797620472501644,99862.00879710354,582.7640369946275,20992.757392426036,50499.04308855246,16846.10161677073,67345.1447053232,9257.99296967394,2266.113729680367,23231.029448943358,23231.029448943358,2235.7922408322725,25466.821689775632,1303.978214224825,1303.978214224825,0.0,24535.007663168184,0.03817851292353311,0.04030926041155916,0.03243999338032592,0.45303450423348796,8496.283789969248,0.0,0.0
2047Q2,2047-06-30,2047,2,2047,70189.95722110248,34953.68725951492,0.01584952735551126,0.019676561505418855,0.02235168965107781,357.7490725,953.3675379941194,163.48109819351777,554.2269978968618,177.20171674373685,40.24383605769638,18.213889102305945,6.052004524189207,51.30489516976564,0.0,1010.7244376880742,1368.4735101880742,0.0,100444.77283409817,101813.24634428624,1.450538657881904,0.02038747915876737,0.05759937619019957,0.07798685534896695,101230.4823072916,582.7640369946275,21276.490062687582,51181.57507200391,17073.789161854645,68255.36423385855,9401.886074983382,2296.741935762077,23463.77824607918,23463.778246079182,2266.113729680367,25729.89197575955,1317.1686150183086,1317.1686150183086,0.0,24780.94686109749,0.038186080043998684,0.040249956634675635,0.03250467599167938,0.48182931421835185,9507.008227657321,-1.4551915228366852e-11,0.0
